WkrNr,Wahlkreis,Insgesamt,CDU/CSU,SPD,FDP,DIE LINKE,GRÜNE
91,Rhein-Erft-Kreis I,178735,75521,55089,10235,9266,12264
92,Euskirchen – Rhein-Erft-Kreis II,175471,79055,46982,11611,9075,12544
93,Köln I,131602,43863,40759,7235,10709,16056
94,Köln II,183019,64909,48190,14871,12689,28642
95,Köln III,140346,42902,44240,6339,12960,20905
96,Bonn,173239,62844,44909,14418,10988,23686
97,Rhein-Sieg-Kreis I,170747,74187,46065,10796,9496,14000
98,Rhein-Sieg-Kreis II,162910,73860,39571,13468,7433,14122
99,Oberbergischer Kreis,148946,67437,40185,8446,8055,10347
100,Rheinisch-Bergischer Kreis,167720,73278,43721,11676,8473,15113
101,Leverkusen – Köln IV,148440,52884,48511,7212,10615,14283
102,Wuppertal I,143938,47470,46638,8198,12499,14318
103,Solingen – Remscheid – Wuppertal II,159021,62029,48123,9650,10740,12676
104,Mettmann I,152883,65696,43173,9660,7808,11699
105,Mettmann II,121654,50254,37580,7421,6646,8408
106,Düsseldorf I,163675,65978,43269,14985,10505,15445
107,Düsseldorf II,138042,51050,41737,7979,10705,13399
108,Neuss I,152809,69480,42604,9418,7606,9363
109,Mönchengladbach,125942,55030,35447,7414,8080,7792
110,Krefeld I – Neuss II,149420,66802,40968,10901,7768,10303
111,Viersen,165797,76747,44103,10493,8897,11106
112,Kleve,160160,77833,43253,9094,7322,9856
113,Wesel I,152469,59970,53249,7224,9091,9780
114,Krefeld II – Wesel II,129696,47806,44856,7237,8546,9485
115,Duisburg I,120315,36109,47165,4044,9475,8341
116,Duisburg II,104132,27665,44727,2891,9160,5376
117,Oberhausen – Wesel III,145767,43882,60222,4802,11732,9604
118,Mülheim – Essen I,139478,47247,53275,6388,8968,9837
119,Essen II,107280,30540,44684,3627,8716,7616
120,Essen III,149772,54310,49626,8581,9855,14550
121,Recklinghausen I,120927,40898,48070,4100,8244,7716
122,Recklinghausen II,135724,47082,54378,4813,8501,7860
123,Gelsenkirchen,116948,32380,51514,3468,8880,6413
124,Steinfurt I – Borken I,146206,72802,41073,7434,6420,8936
125,Bottrop – Recklinghausen III,146488,51021,58800,5095,9153,7998
126,Borken II,150269,80352,38391,7915,5447,9138
127,Coesfeld – Steinfurt II,148485,74391,38075,8328,6167,12083
128,Steinfurt III,144754,62729,48324,6822,6765,10981
129,Münster,178802,67626,48579,12119,11254,27118
130,Warendorf,156533,73764,45609,8486,6858,11305
131,Gütersloh I,167143,77361,47962,8236,8332,13148
132,Bielefeld – Gütersloh II,177548,62698,57931,7055,14869,20711
133,Herford – Minden-Lübbecke II,161960,63755,56554,6798,9409,12297
134,Minden-Lübbecke I,144026,59134,49536,6640,7114,10527
135,Lippe I,124194,48776,43583,5698,6369,9123
136,Höxter – Lippe II,153998,70520,45707,7423,7894,10266
137,Paderborn – Gütersloh III,174148,89394,40630,8774,9065,12445
138,Hagen – Ennepe-Ruhr-Kreis I,145446,51328,53380,6604,9820,9806
139,Ennepe-Ruhr-Kreis II,133149,44028,50946,5977,8498,12071
140,Bochum I,152182,46448,58766,5862,12022,14667
141,Herne – Bochum II,125133,35149,54876,3528,10162,8275
142,Dortmund I,147485,42712,56180,6107,11653,15827
143,Dortmund II,136002,39604,55683,5139,10568,11328
144,Unna I,146615,46794,60019,5850,9127,11567
145,Hamm – Unna II,165392,60984,63646,6153,10399,9990
146,Soest,166146,74380,50439,8218,8721,11565
147,Hochsauerlandkreis,150046,74530,42054,7625,7055,7161
148,Siegen-Wittgenstein,154896,64307,49563,7327,8920,9937
149,Olpe – Märkischer Kreis I,148915,71437,42002,7694,7113,7726
150,Märkischer Kreis II,143560,59536,46318,6431,8463,7971
151,Nordsachsen,110163,49473,16970,2912,22696,3144
152,Leipzig I,136794,50481,25286,4028,29122,9466
153,Leipzig II,152187,49553,28778,4583,34302,17075
154,Leipzig-Land,149205,68348,22681,4292,29716,4899
155,Meißen,143189,64622,18024,5253,26735,5721
156,Bautzen I,152013,69335,18502,4723,30290,4249
157,Görlitz,149961,66106,18839,4185,29380,5044
158,Sächsische Schweiz-Osterzgebirge,144975,66673,15865,4655,24848,5158
159,Dresden I,171136,68192,26440,5243,32505,13517
160,Dresden II – Bautzen II,171193,66092,23943,5405,31059,16304
161,Mittelsachsen,143374,64971,19070,4933,29525,4703
162,Chemnitz,134528,52380,23558,3865,31014,7168
163,Chemnitzer Umland – Erzgebirgskreis II,132435,59939,19178,3594,26434,4282
164,Erzgebirgskreis I,158750,73098,20114,5828,30741,3964
165,Zwickau,146054,64872,21686,3924,31061,4653
166,Vogtlandkreis,136695,60466,21885,3836,27617,4569
167,Waldeck,134416,49063,48420,6452,7356,10872
168,Kassel,156479,48361,53232,6259,13680,19884
169,Werra-Meißner – Hersfeld-Rotenburg,127253,45872,46913,5014,7584,8868
170,Schwalm-Eder,136981,48747,50052,6362,7442,10498
171,Marburg,127909,46993,42749,5111,8720,13443
172,Lahn-Dill,143103,59760,43406,6323,7433,10600
173,Gießen,152723,59062,45299,7553,9928,14759
174,Fulda,150230,76778,33218,7313,6900,10058
175,Main-Kinzig – Wetterau II – Schotten,127014,52305,35313,6516,6934,9720
176,Hochtaunus,136883,58822,33846,10334,6358,12690
177,Wetterau I,128149,52419,34937,7586,6615,11991
178,Rheingau-Taunus – Limburg,161924,73599,40718,10139,7290,13955
179,Wiesbaden,129683,50187,36041,8801,7668,15133
180,Hanau,124494,48828,35650,6611,7630,11183
181,Main-Taunus,151919,66598,34156,13100,6406,15057
182,Frankfurt am Main I,130888,43883,35106,9209,11684,17398
183,Frankfurt am Main II,157013,53198,41360,10979,12778,24165
184,Groß-Gerau,123689,45389,37781,5762,7693,13129
185,Offenbach,154250,59905,40203,9836,10205,16503
186,Darmstadt,176700,61677,50416,8945,11866,25149
187,Odenwald,171832,70211,48252,8964,9459,15560
188,Bergstraße,144559,61337,39838,7975,7025,12520
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,149920,65251,22951,4068,32463,5571
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,153033,61390,26096,3843,34454,6214
191,Jena – Sömmerda – Weimarer Land I,144136,51871,23693,4557,33273,10495
192,Gotha – Ilm-Kreis,139092,53196,23815,3280,30758,6414
193,Erfurt – Weimar – Weimarer Land II,154106,53123,27159,4015,35421,13125
194,Gera – Greiz – Altenburger Land,168082,67024,23934,4312,42142,5944
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,162802,62222,24759,4156,39629,6610
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,160522,63206,26307,3870,40475,6138
197,Neuwied,171156,78005,48866,8023,8965,10661
198,Ahrweiler,140660,68680,34660,7897,6569,9287
199,Koblenz,140863,63427,38221,7595,7358,10853
200,Mosel/Rhein-Hunsrück,126952,62703,31202,7948,6139,7257
201,Kreuznach,129804,53335,40708,7236,7485,8221
202,Bitburg,117267,61192,26189,7136,5134,7165
203,Trier,138524,60909,36410,6841,8688,13157
204,Montabaur,152831,69119,42500,7994,7724,9646
205,Mainz,185758,71290,49232,12166,10266,24728
206,Worms,154153,60722,46052,9179,7784,12878
207,Ludwigshafen/Frankenthal,152420,59425,45001,7952,8538,11042
208,Neustadt – Speyer,162803,71072,41982,9337,7871,13915
209,Kaiserslautern,159868,57376,52242,7315,12107,11430
210,Pirmasens,125594,54877,35108,6344,8172,5960
211,Südpfalz,155844,66523,40537,9677,7538,13172
212,Altötting,110861,64998,16797,4365,3241,6394
213,Erding – Ebersberg,142697,72850,23670,7322,4178,12587
214,Freising,164784,85319,26558,7661,5257,14881
215,Fürstenfeldbruck,170400,86764,30862,8398,5121,14955
216,Ingolstadt,159667,88710,27909,6850,5796,9936
217,München-Nord,155244,57100,38350,12778,7088,21174
218,München-Ost,168042,66349,39187,13775,7131,21719
219,München-Süd,153397,58097,36877,10727,7341,21440
220,München-West/Mitte,173533,64221,41108,12850,8312,27068
221,München-Land,179492,84406,35540,14940,5088,17654
222,Rosenheim,161811,87569,23966,8040,4688,13631
223,Bad Tölz-Wolfratshausen – Miesbach,117859,63502,16918,6929,3140,9364
224,Starnberg – Landsberg am Lech,159511,77657,27131,12277,4754,17066
225,Traunstein,140330,80351,20875,6139,4193,12334
226,Weilheim,118232,62418,18049,6162,3553,9266
227,Deggendorf,99529,55877,16700,3810,3367,4370
228,Landshut,166761,89865,26720,7840,5074,11181
229,Passau,110115,59369,20349,4945,4139,6590
230,Rottal-Inn,106649,62705,16066,4344,2840,5242
231,Straubing,110549,63887,17790,4653,3297,4324
232,Amberg,149736,80073,29036,5633,5052,8997
233,Regensburg,170639,82556,32902,7835,6617,15759
234,Schwandorf,139800,76453,27066,4701,4505,5927
235,Weiden,117710,62126,26484,3953,3982,5072
236,Bamberg,125949,61546,24924,6073,5143,11267
237,Bayreuth,114804,56846,26676,5539,3783,7803
238,Coburg,112138,52429,31297,4506,4468,6380
239,Hof,115869,54357,30817,4381,5566,6244
240,Kulmbach,121100,63378,26030,4513,4392,6396
241,Ansbach,165097,78640,36690,7619,6368,13771
242,Erlangen,134249,55940,32638,7440,5840,15395
243,Fürth,176707,75595,44485,8251,8816,16126
244,Nürnberg-Nord,131647,45748,35310,7150,9311,17444
245,Nürnberg-Süd,120575,48881,34363,5087,6948,9705
246,Roth,167453,76181,41107,7467,6394,14247
247,Aschaffenburg,129346,61741,28408,7003,4691,11135
248,Bad Kissingen,153622,82760,27931,7342,6946,9874
249,Main-Spessart,141430,69953,30486,6413,4839,9972
